Sr.No.,Category,Title,Author,Abstract,Conclusion ,Discussion
1,INDEX,"Towards a global One Health index: 
a potential assessment tool for One Health 
performance",Zhang et.al,"The international society is rapidly adopting a One Health approach because it promotes holistic thinking by recognising the close linkages and interdependence of human, animal, and environmental health. However, a lack of real-world evidence has impeded the implementation of a One Health strategy in policy and practise. This study suggests the creation of a prospective One Health performance evaluation tool in order to contribute to the scientific measurement of the One Health approach and the identification of gaps where One Health capacity building is most urgently required.","GOHI would be the world's first evaluation tool that develops the conceptual framework of One Health from a holistic perspective. Future applications of GOHI may foster a shared understanding of a strong One Health approach and serve as a model for supporting effective One Health capacity building strategies. GOHI, together with its technological protocols and databases, will be updated on a regular basis to overcome present technical limits and capture new knowledge, with potential modifications under diverse scenarios.","Firstly, the introduction of the cell-like framework of GOHI provides a clear definition and promotes common understanding of the determinants and functioning of a strong One Health approach, which will serve as the conceptual foundation for policy making. Moreover, the GOHI database enhances the consistency and quality of One Health systems, including via collaboration in data transparency and information sharing. Secondly, GOHI is able to serve as a tool for the assessment of the performance of One Health approaches at global, continental, country and sub-regional levels. It provides a means for identifying gaps and promoting the adoption of effective measures to strengthen One Health capacity building in countries/territories where it is needed most. GOHI sets out to distill examples of best practice and guides countries to identify potential weaknesses in One Health implementation. This in turn helps identify priorities for international assistance in One Health issues, which is much needed for poverty alleviation and achievement of the SDGs. Thirdly, the CDI in GOHI focuses on emerging zoonotic infectious diseases, AMR, food security and climate change. All of the countermeasures tackling these global challenges need further development and new technologies, such as surveillance and response technologies, preparedness and early warning systems, prediction and modelling platforms. GOHI aims to support early identification of the gaps in technology development in relevant fields, particularly in the fields of infectious disease control and prevention, emergency response and preparedness and AMR monitoring and control, which are core issues in One Health practice."
2,INDEX,"Global antimicrobial resistance:
a system-wide comprehensive investigation
using the Global One Health Index",Zhou et. Al,"One of the top ten worldwide public health issues is antimicrobial resistance (AMR). However, given the lack of a complete assessment of global AMR status, our goal is to establish a One Health-based system-wide AMR evaluation tool.",GOHI-AMR is the most complete instrument currently available for assessing AMR status around the world. We uncovered distinct features influencing AMR in each nation and provided specific recommendations to strengthen the capacity of low-ranking countries to combat AMR.,"Consistent with the positive correlation between GOHI-AMR and GDP, GNI, and domestic health expenditures, the HICs significantly outperformed the other three income nation groups, with all five key indicators dramatically above the global average. Particularly for the key indicator ACO, nearly all of the HICs have accounted for the proper use of antibiotics not just in humans but in animals and environments as well. Simultaneously, HICs have numerous existing challenges. Firstly, unexpectedly, in the sub-indicators MR-SA and AR-ABA, the prevalence of MRSA and aminoglycosides-resistant Acinetobacter baumannii in HICs are significantly higher than those in LICs but lower than in UMICs and LMICs. Moreover, utilizing AMR surveillance data from ECDC, there are still some HICs, such as Cyprus and Malta, with a higher prevalence of ESKAPE and no effective preventative or control measures, demonstrating that even within HICs, huge AMR discrepancies also exist; Secondly, among the monitoring-related key indicators ASS, less than one-third of HICs scored over 60 on the indicator AMC (antibacterial drug consumption monitoring for humans and animals). The primary issue is the inadequacy of national monitoring of animal antibiotic consumption, with only New Zealand scoring 75 on the sub-indicator ACA. In the future, UMICs, LMICs, and LICs will confront similar AMR challenges."
3,INDEX,"Toward One Health: a spatial 
indicator system to model the 
facilitation of the spread of 
zoonotic diseases",Espino et.al,"The recurrence of zoonotic infectious illnesses emphasises the need of understanding the interdependence of human, animal, and environmental health in disease prevention and control. This has given rise to the notion of One Health, which acknowledges the connection of human and animal health within their own ecosystems. The indicators chosen focused on demographics, socioeconomic factors, interactions between animal and human populations, water bodies, and environmental variables such as air quality and climate. These indicators were defined using values collected from the literature or derived using distance analysis, geoprocessing activities, and other techniques.","The considerable positive association between the outcomes of the indicator system and the presence of artificial GI corroborated this tendency. The correlation with natural and semi-natural GI, on the other hand, demonstrated an inverse relationship, emphasising the importance of these regions for habitat preservation and biodiversity protection, thereby harmonising with the concepts of One Health. The veracity of these findings was confirmed by comparing the indicator system results with the records provided in the Valencian Community in 2021, which revealed a strong positive association. As a result, while developing strategies for better public space planning, the indicator system is offered as a tool for implementing the principles of the One Health approach.","The results obtained in this study address some key demands in the field of landscape epidemiology, including the incorporation of spatial interactions between individuals and environmental gradients in large-scale studies. Spatial dimensions such as distances between humans, animals, and environments have been found to be associated with both directly and indirectly transmitted infectious diseases. Overall, the spatial processing of indicators proposed in this study aligns with these premises. The results are also consistent with the notion that urbanization contributes to increased encounters with wildlife, leading to challenges in infectious disease epidemiology due to amplified and faster spread. Although the interface between human and wildlife populations ( I14 ) carries moderate weight, wild animals ( I8) and human population ( I3 ) were identified as the two most important indicators"
4,POLICY," Knowledge integration in One Health policy formulation, 
implementation and evaluation",Hitziger et.al,"One Health is a complex biological and social system involving various actors and processes, as well as their interactions over time at the local, national, and global levels. There is already a framework for global health governance: a collection of formal and informal institutions, rules, and processes that affect global health policy decisions. In an ideal world, such a framework would cross national borders, embrace multisectoral and interdisciplinary approaches, and engage with a diverse variety of important actors. However, the current structure is hampered by the fragmentation of health interests, programmes, and sectors, a general lack of societal participation, and a professional focus on very limited areas of expertise, referred to as professional silos.
The existing framework's dysfunctionality in terms of its basic elements of the One health concept, emphasizes the need for a dedicated framework for One health governance. ","To develop and improve One Health best practises, practitioners and scientists in active One Health networks should be educated on knowledge integration and encouraged to discuss their ideas with those of more established governance actors, ideally through programmes supported by long-term professional associations or organisations. Finally, effort should be focused on establishing and implementing effective technical tools to promote stakeholder participation and brokering at all levels of health governance, from local to global.","Although multicriteria analyses, systems thinking and transdisciplinary 
approaches mainly focus on different, crucial aspects of One Health gover nance, they are complementary and overlapping rather than mutually exclu sive. They provide methods to resolve trade-offs and set a common vision and a common direction across disciplines, 
institutions and sectors. They serve as a toolbox for systemic monitoring and feedback to transform observations into narratives detailing how situa tions emerge and might unfold in the future. Finally, they contribute to the development and/or strengthening of networks for collective action towards a common vision. Potentially, therefore, as a decisive element in policy develop ment, knowledge integration could help resolve the main shortcomings of the current global framework for health governance, by managing complexity and shaping interactions between actors and institutions towards joint learning.
"
5,POLICY,A socioeconomic approach to one health policy research in southern Africa,Kayunze et.al,"In some countries, one-health approaches to infectious disease control have begun to be used to health systems in order to collaborate lower disease burdens in humans, cattle, and wild animals. However, it is unclear if the problem of persistent and new zoonoses is exacerbated by health policy, a lack of one-health methods, or other causes. The primary goal of this article was to determine which factors influence disease burden and how disease burden affects socioeconomic well-being. A review of the literature reveals, among other things, that the occurrence of infectious diseases in humans and animals is influenced by a variety of factors, the most important of which are the causative agents (viruses, bacteria, parasites, etc.) and the mediator conditions (social, cultural, economic, or climatic) which facilitate the infection to occur and hold. ","The natural sciences are greatest at understanding the causal agents, while the social sciences are best at understanding the mediating circumstances. As a result, a research framework that recognises the role that socio-economists can play in collaborating with biological scientists to harness innovation in science and technology in order to improve the capacity to detect, identify, and monitor infectious diseases of humans and animals, as well as their interactions, in order to better manage the risk posed by them, is more likely to provide the type of evidence-based policy impact. The One Health approach appears to be the most sensible solution. However, one should not underestimate the limitations posed by contemporary organisational systems, even in the case of the shared problem of zoonoses between animal and human health.",
6,POLICY,"Integrating a One Health approach into
epidemiology to improve public policy",Kahn et.al,"To develop effective disease prevention strategies, public policies rely on robust epidemiological data. The notion of One Health, which links human, animal, environmental, and ecosystem health, provides a valuable framework for exploring, assessing, and managing complicated relationships between multiple health concerns such as antimicrobial resistance.
","A One Health strategy demands more communication and collaboration among epidemiologists, veterinarians, and physicians, among others. Companion animals, livestock, and, if practicable, wildlife should all be included in antimicrobial resistance surveillance systems. To make this vital disease prevention strategy a reality, establishing a One Health approach to epidemiological investigations that integrates human, animal, environmental, and ecosystem health will require political will and dedicated finances.",
7,POLICY,Integrating one health in national health policies of developing countries: India’s lost opportunities,Chatterjee et.al ,"Globally, health systems have been caught off guard by the threat of infectious disease, especially emerging infectious diseases that originate at the human-animal-environment interface. With predictions that future pathogen emergence will be concentrated in hotspots in Asia, Africa, and Latin America, it is critical to develop policy frameworks to tackle this threat.","Adopting One Health initiatives in health and related sectoral policies is an important policy imperative for India and other emerging countries. The goal should be to not only develop preparedness strategies, but also to foster a policy climate in which the assessment and mitigation of the downstream effects of various agendas are embraced.",
8,FRAMEWORK,One Health operations: a critical component in the International Health Regulations Monitoring and Evaluation Framework,Rocque et.al,"Countries are expected to develop their capacity to detect, assess, inform, and respond to unusual health incidents of possible international concern under the International Health Regulations (IHR, 2005), a legally binding treaty adopted by 196 States Parties. The World Health Organisation (WHO) developed the IHR Monitoring and Evaluation Framework (IHR MEF) to assist nations in monitoring, strengthening, and complying with the IHR (2005).
The State Party Annual Report, the Joint External Evaluation, after-action reviews, and simulation exercises are all complementing components of this structure. The first two are intended to review capacities, while the latter two are used to assist explore their functionality. The input of various disciplines, sectors, and areas of work collaborating through a One Health approach is critical for execution.","Since their implementation in 2005, the IHR have assisted the world community in better preparing for and responding to public health emergencies. Many States Parties have made significant progress in developing and strengthening the essential capacities mandated by the Regulations. Taking use of the present momentum and existing initiatives that encourage Regulations implementation, the IHR MEF assists countries in their efforts to create and sustain core capacities and ensure their full integration into national health systems. Furthermore, the IHR MEF assists countries in continuing to incorporate other key sectors, including as animal health, the environment, travel, and transportation. ",
9,FRAMEWORK,"One Health operational framework for action for the Eastern 
Mediterranean Region, focusing on zoonotic diseases ",Mahrous et.al,"The Eastern Mediterranean Region of the World Health Organisation, like any other region, faces the threat of new and resurfacing zoonoses. However, given a lack of resources, weak health systems, and political factors, the problems in this Region are significant. As a result, embracing the One Health concept becomes critical in order to aid those countries. Following that, a framework for action towards effectively implementing the One Health approach was designed based on an examination of One Health capacity in the Region and extensive collaboration with representatives and subject matter experts from nations in the Region. The framework capitalises on present possibilities in the region and provides countries with a list of practical essential tasks aimed at making the most use of their resources and developing their capacity to deal with current and future challenges. Building on current processes and establishing strong governance structures are critical for attaining efficient disease surveillance and response. Furthermore, employing intersectoral approaches for risk assessment and risk mitigation for health issues at the human-animal-environment interface might increase efficiency and yield better results.
","The Region is committed to continuing to provide technical assistance to regional countries in order to establish a multisectoral collaboration and coordination mechanism among their professionals in the human health, animal health, and environmental sectors, as well as to assisting countries in developing national plans to meet their obligations under the International Health Regulations (2005). Furthermore, the Region will organise and arrange technical expert meetings across nations to discuss lessons learned and inter-regional experience.",
10,FRAMEWORK,"Strategic planning, components and evolution 
in zoonotic diseases frameworks: one health approach 
and public health ethics",Ghanbari et.al,"Zoonotic illnesses are regarded as a major public health risk. 
The routes of rapid transmission of zoonotic illnesses, as well as the economic damage they do to populations, are all reasons why health organisations and systems should pay more attention to these diseases. Strategic planning is an important duty for policymakers in any organisation or system. It is a very dependable and effective instrument for running all types of organisations, including health care organisations. Countries with well-defined policies have been successful in controlling and lowering zoonotic illnesses. Such countries employed appropriate strategic planning and set annual goals for illness control and prevention.
","In order to improve their ability to battle zoonotic infections, health systems must adopt strategic plans. These programmes must be adaptable, consistent with the one health strategy, based on current requirements, and connected with the emerging difficulties confronting health systems. The strategic planning of each country's health system is strongly tied to national and international policies, organisational goals and missions, dynamism, degree of complexity, and organisational structure. 
As a result, we suggest that the above-mentioned components should be identified and included when establishing a robust strategy plan for zoonotic diseases. ",
